frequency,gain_sch
8912509.4,38.274311
9120108.4,38.266769
9332543,38.258886
9549925.9,38.250647
9772372.2,38.242035
10000000,38.233037
10232930,38.223634
10471285,38.21381
10715193,38.203547
10964782,38.192825
11220185,38.181627
11481536,38.169932
11748976,38.15772
12022644,38.144968
12302688,38.131656
12589254,38.11776
12882496,38.103256
13182567,38.088121
13489629,38.072329
13803843,38.055854
14125375,38.038669
14454398,38.020746
14791084,38.002058
15135612,37.982575
15488166,37.962267
15848932,37.941104
16218101,37.919052
16595869,37.896081
16982437,37.872157
17378008,37.847246
17782794,37.821313
18197009,37.794323
18620871,37.766239
19054607,37.737025
19498446,37.706644
19952623,37.675056
20417379,37.642225
20892961,37.60811
21379621,37.572672
21877616,37.535872
22387211,37.497668
22908677,37.458021
23442288,37.41689
23988329,37.374233
24547089,37.330011
25118864,37.284183
25703958,37.236707
26302680,37.187543
26915348,37.136652
27542287,37.083995
28183829,37.029531
28840315,36.973223
29512092,36.915034
30199517,36.854926
30902954,36.792865
31622777,36.728815
32359366,36.662744
33113112,36.59462
33884416,36.524412
34673685,36.452092
35481339,36.377632
36307805,36.301008
37153523,36.222195
38018940,36.141172
38904514,36.057921
39810717,35.972423
40738028,35.884663
41686938,35.79463
42657952,35.702311
43651583,35.6077
44668359,35.51079
45708819,35.411579
46773514,35.310064
47863009,35.206249
48977882,35.100136
50118723,34.991733
51286138,34.881048
52480746,34.768092
53703180,34.652879
54954087,34.535424
56234133,34.415746
57543994,34.293864
58884366,34.1698
60255959,34.043579
61659500,33.915227
63095734,33.78477
64565423,33.652238
66069345,33.517662
67608298,33.381074
69183097,33.242508
70794578,33.101999
72443596,32.959581
74131024,32.815293
75857758,32.669172
77624712,32.521255
79432823,32.371583
81283052,32.220195
83176377,32.067131
85113804,31.912431
87096359,31.756137
89125094,31.598287
91201084,31.438924
93325430,31.278088
95499259,31.11582
97723722,30.952159
1e+08,30.787147
1.023293e+08,30.620822
1.0471285e+08,30.453225
1.0715193e+08,30.284393
1.0964782e+08,30.114365
1.1220185e+08,29.94318
1.1481536e+08,29.770874
1.1748976e+08,29.597483
1.2022644e+08,29.423044
1.2302688e+08,29.247592
1.2589254e+08,29.071161
1.2882496e+08,28.893784
1.3182567e+08,28.715495
1.3489629e+08,28.536326
1.3803843e+08,28.356308
1.4125375e+08,28.17547
1.4454398e+08,27.993844
1.4791084e+08,27.811458
1.5135612e+08,27.628339
1.5488166e+08,27.444515
1.5848932e+08,27.260013
